id,date,commodity_group,commodity_id,commodity,zone,centre_id,centre,price
10692193,2023-09-12,Others,6,"Milk @","West Zone",574,Maharashtra,58.67
10692031,2023-09-12,"Grains & Pulses",1,"Atta (Wheat)","West Zone",574,Maharashtra,42.79
10692064,2023-09-12,"Grains & Pulses",2,"Gram Dal","West Zone",574,Maharashtra,79.74
10692259,2023-09-12,"Edible Oils",8,"Mustard Oil (Packed)","West Zone",574,Maharashtra,160.17
10692292,2023-09-12,Vegetables,9,Onion,"West Zone",574,Maharashtra,30.42
10692422,2023-09-12,Others,13,"Salt Pack (Iodised)","West Zone",574,Maharashtra,23.94
10692453,2023-09-12,"Edible Oils",14,"Soya Oil (Packed)","West Zone",574,Maharashtra,112.68
10692582,2023-09-12,Vegetables,18,Tomato,"West Zone",574,Maharashtra,26.95
10692615,2023-09-12,"Grains & Pulses",19,"Tur/Arhar Dal","West Zone",574,Maharashtra,163.58
10692713,2023-09-12,"Grains & Pulses",22,Wheat,"West Zone",574,Maharashtra,38.37
10692745,2023-09-13,"Grains & Pulses",1,"Atta (Wheat)","West Zone",574,Maharashtra,42.61
10692778,2023-09-13,"Grains & Pulses",2,"Gram Dal","West Zone",574,Maharashtra,80
10692874,2023-09-13,"Grains & Pulses",5,"Masoor Dal","West Zone",574,Maharashtra,99.06
10692907,2023-09-13,Others,6,"Milk @","West Zone",574,Maharashtra,57.33
10692940,2023-09-13,"Grains & Pulses",7,"Moong Dal","West Zone",574,Maharashtra,119.44
10692973,2023-09-13,"Edible Oils",8,"Mustard Oil (Packed)","West Zone",574,Maharashtra,159.29
10693006,2023-09-13,Vegetables,9,Onion,"West Zone",574,Maharashtra,30.67
10693038,2023-09-13,"Edible Oils",10,"Palm Oil (Packed)","West Zone",574,Maharashtra,104.13
10693070,2023-09-13,Vegetables,11,Potato,"West Zone",574,Maharashtra,27.44
10693103,2023-09-13,"Grains & Pulses",12,Rice,"West Zone",574,Maharashtra,47.56
10693136,2023-09-13,Others,13,"Salt Pack (Iodised)","West Zone",574,Maharashtra,23.5
10693167,2023-09-13,"Edible Oils",14,"Soya Oil (Packed)","West Zone",574,Maharashtra,112.44
10693263,2023-09-13,Others,17,"Tea Loose","West Zone",574,Maharashtra,293.39
10693296,2023-09-13,Vegetables,18,Tomato,"West Zone",574,Maharashtra,26.11
10693329,2023-09-13,"Grains & Pulses",19,"Tur/Arhar Dal","West Zone",574,Maharashtra,163
10693427,2023-09-13,"Grains & Pulses",22,Wheat,"West Zone",574,Maharashtra,38.61
10693459,2023-09-14,"Grains & Pulses",1,"Atta (Wheat)","West Zone",574,Maharashtra,42.79
10693588,2023-09-14,"Grains & Pulses",5,"Masoor Dal","West Zone",574,Maharashtra,99.11
10693621,2023-09-14,Others,6,"Milk @","West Zone",574,Maharashtra,58
10693752,2023-09-14,"Edible Oils",10,"Palm Oil (Packed)","West Zone",574,Maharashtra,104
10693784,2023-09-14,Vegetables,11,Potato,"West Zone",574,Maharashtra,27.47
10693912,2023-09-14,Others,15,Sugar,"West Zone",574,Maharashtra,43.63
10693945,2023-09-14,"Edible Oils",16,"Sunflower Oil (Packed)","West Zone",574,Maharashtra,125.53
10692096,2023-09-12,"Edible Oils",3,"Groundnut Oil (Packed)","West Zone",574,Maharashtra,190.32
10692127,2023-09-12,Others,4,Gur,"West Zone",574,Maharashtra,52.44
10692160,2023-09-12,"Grains & Pulses",5,"Masoor Dal","West Zone",574,Maharashtra,99.11
10692324,2023-09-12,"Edible Oils",10,"Palm Oil (Packed)","West Zone",574,Maharashtra,104.5
10692356,2023-09-12,Vegetables,11,Potato,"West Zone",574,Maharashtra,27.53
10692389,2023-09-12,"Grains & Pulses",12,Rice,"West Zone",574,Maharashtra,47.37
10692484,2023-09-12,Others,15,Sugar,"West Zone",574,Maharashtra,43.61
10692517,2023-09-12,"Edible Oils",16,"Sunflower Oil (Packed)","West Zone",574,Maharashtra,125.84
10692549,2023-09-12,Others,17,"Tea Loose","West Zone",574,Maharashtra,293.61
10692648,2023-09-12,"Grains & Pulses",20,"Urad Dal","West Zone",574,Maharashtra,122.32
10692681,2023-09-12,"Edible Oils",21,"Vanaspati (Packed)","West Zone",574,Maharashtra,131.32
