date,value
2014-01-01,40.66
2014-01-02,40.40
2014-01-03,40.80
2014-01-06,40.36
2014-01-07,43.39
2014-01-08,40.92
2014-01-09,40.94
2014-01-10,40.63
2014-01-13,39.83
2014-01-15,40.34
2014-01-16,40.06
2014-01-17,39.92
2014-01-20,40.79
2014-01-21,39.66
2014-01-22,40.90
2014-01-23,40.15
2014-01-24,39.08
2014-01-27,40.16
2014-01-28,40.08
2014-01-30,39.97
2014-01-31,39.23
2014-02-03,39.46
2014-02-04,40.65
2014-02-05,39.32
2014-02-06,39.43
2014-02-07,39.39
2014-02-10,39.41
2014-02-11,39.57
2014-02-12,39.14
2014-02-13,39.68
2014-02-14,40.95
2014-02-17,39.47
2014-02-18,40.08
2014-02-19,39.66
2014-02-20,39.94
2014-02-21,39.68
2014-02-24,40.11
2014-02-25,39.90
2014-02-26,39.73
2014-02-27,42.71
2014-02-28,39.76
2014-03-03,39.91
2014-03-04,40.31
2014-03-05,39.60
2014-03-06,38.68
2014-03-07,39.22
2014-03-10,39.37
2014-03-11,39.29
2014-03-12,39.32
2014-03-13,39.18
2014-03-14,39.44
2014-03-18,39.65
2014-03-19,39.42
2014-03-20,39.25
2014-03-21,39.47
2014-03-24,39.63
2014-03-25,39.20
2014-03-26,38.54
2014-03-27,39.01
2014-03-28,38.85
2014-03-31,37.90
2014-04-01,39.89
2014-04-02,38.31
2014-04-03,39.26
2014-04-04,39.49
2014-04-07,40.21
2014-04-09,38.70
2014-04-11,38.54
2014-04-15,39.46
2014-04-16,38.82
2014-04-17,40.21
2014-04-21,39.43
2014-04-22,39.71
2014-04-23,40.28
2014-04-24,39.79
2014-04-25,39.76
2014-04-28,39.81
2014-04-29,39.73
2014-04-30,38.83
2014-05-01,37.94
2014-05-02,39.35
2014-05-05,39.35
2014-05-06,39.88
2014-05-07,39.53
2014-05-08,39.48
2014-05-09,39.81
2014-05-12,39.66
2014-05-13,39.71
2014-05-15,39.57
2014-05-16,40.31
2014-05-19,40.10
2014-05-20,39.74
2014-05-21,40.17
2014-05-22,39.88
2014-05-23,40.38
2014-05-26,41.00
2014-05-27,40.28
2014-05-28,40.15
2014-05-29,40.12
2014-05-30,39.91
2014-06-02,40.01
2014-06-03,40.32
2014-06-04,40.85
2014-06-05,40.40
2014-06-06,41.01
2014-06-09,40.88
2014-06-10,40.34
2014-06-11,40.38
2014-06-12,40.46
2014-06-13,41.34
2014-06-16,40.29
2014-06-17,40.75
2014-06-18,40.88
2014-06-19,41.22
2014-06-20,41.55
2014-06-23,41.60
2014-06-24,40.78
2014-06-25,41.08
2014-06-26,41.08
2014-06-27,40.53
2014-06-30,40.49
2014-07-01,41.31
2014-07-02,41.25
2014-07-03,41.16
2014-07-04,41.33
2014-07-07,41.16
2014-07-08,41.23
2014-07-09,40.98
2014-07-10,41.31
2014-07-11,40.74
2014-07-14,41.41
2014-07-15,41.60
2014-07-16,40.96
2014-07-17,41.45
2014-07-18,41.42
2014-07-21,40.38
2014-07-22,41.58
2014-07-23,41.47
2014-07-24,41.67
2014-07-25,41.60
2014-07-28,40.80
2014-07-30,41.67
2014-07-31,41.29
2014-08-01,41.24
2014-08-04,41.53
2014-08-05,41.90
2014-08-06,41.93
2014-08-07,42.02
2014-08-08,41.75
2014-08-11,41.28
2014-08-12,41.50
2014-08-13,41.56
2014-08-14,41.14
2014-08-19,41.05
2014-08-20,41.09
2014-08-21,41.73
2014-08-22,41.84
2014-08-25,41.82
2014-08-26,41.92
2014-08-27,41.58
2014-08-28,42.25
2014-08-29,40.39
2014-09-01,41.50
2014-09-02,42.06
2014-09-03,42.05
2014-09-04,42.48
2014-09-05,42.11
2014-09-08,41.01
2014-09-09,42.21
2014-09-10,41.87
2014-09-11,42.31
2014-09-12,42.46
2014-09-15,42.08
2014-09-16,41.88
