date,value
2014-01-01,25.50
2014-01-02,26.12
2014-01-03,26.32
2014-01-06,26.43
2014-01-07,26.38
2014-01-08,26.71
2014-01-09,26.71
2014-01-10,26.89
2014-01-13,26.83
2014-01-15,26.51
2014-01-16,26.48
2014-01-17,26.55
2014-01-20,26.02
2014-01-21,25.88
2014-01-22,25.82
2014-01-23,26.13
2014-01-24,26.27
2014-01-27,26.27
2014-01-28,26.24
2014-01-30,26.51
2014-01-31,26.63
2014-02-03,26.63
2014-02-05,26.21
2014-02-06,26.37
2014-02-07,26.37
2014-02-10,26.37
2014-02-11,26.34
2014-02-12,26.30
2014-02-13,26.30
2014-02-14,26.33
2014-02-17,26.30
2014-02-18,26.29
2014-02-19,26.29
2014-02-20,26.32
2014-02-21,26.36
2014-02-24,26.37
2014-02-25,26.48
2014-02-26,26.50
2014-02-27,26.30
2014-02-28,26.30
2014-03-03,26.32
2014-03-04,26.32
2014-03-05,26.56
2014-03-06,26.61
2014-03-07,26.63
2014-03-10,26.89
2014-03-11,26.93
2014-03-12,26.95
2014-03-13,26.85
2014-03-14,26.65
2014-03-18,26.58
2014-03-19,26.52
2014-03-20,26.42
2014-03-21,26.33
2014-03-24,26.26
2014-03-25,26.32
2014-03-26,26.24
2014-03-27,26.23
2014-03-28,26.25
2014-03-31,26.27
2014-04-01,26.61
2014-04-02,26.61
2014-04-03,26.59
2014-04-04,26.71
2014-04-07,27.10
2014-04-09,27.22
2014-04-11,27.33
2014-04-15,27.11
2014-04-16,27.13
2014-04-17,26.82
2014-04-21,26.79
2014-04-22,26.49
2014-04-23,26.13
2014-04-24,26.03
2014-04-25,25.99
2014-04-28,26.05
2014-04-29,26.46
2014-04-30,26.45
2014-05-01,26.04
2014-05-02,26.38
2014-05-05,26.46
2014-05-06,26.52
2014-05-07,26.55
2014-05-08,26.46
2014-05-09,26.59
2014-05-12,26.97
2014-05-13,27.02
2014-05-15,27.06
2014-05-16,26.93
2014-05-19,26.96
2014-05-20,27.12
2014-05-21,27.06
2014-05-22,27.16
2014-05-23,27.16
2014-05-26,27.18
2014-05-27,27.36
2014-05-28,27.37
2014-05-29,27.40
2014-05-30,27.45
2014-06-02,27.49
2014-06-03,27.53
2014-06-04,27.59
2014-06-05,27.62
2014-06-06,27.64
2014-06-09,27.65
2014-06-10,27.65
2014-06-11,27.64
2014-06-12,27.63
2014-06-13,27.44
2014-06-16,27.43
2014-06-17,27.39
2014-06-18,27.37
2014-06-19,27.25
2014-06-20,27.18
2014-06-23,27.03
2014-06-24,27.13
2014-06-25,27.10
2014-06-26,27.10
2014-06-27,27.11
2014-06-30,27.05
2014-07-01,27.11
2014-07-02,27.26
2014-07-03,27.31
2014-07-04,27.28
2014-07-07,27.25
2014-07-08,27.18
2014-07-09,27.29
2014-07-10,27.24
2014-07-11,27.18
2014-07-14,27.15
2014-07-15,27.18
2014-07-16,27.22
2014-07-17,27.25
2014-07-18,27.28
2014-07-21,27.29
2014-07-22,27.35
2014-07-23,27.39
2014-07-24,27.43
2014-07-25,27.48
2014-07-28,27.52
2014-07-30,27.57
2014-07-31,27.63
2014-08-01,27.65
2014-08-04,27.63
2014-08-05,27.65
2014-08-06,27.61
2014-08-07,27.63
2014-08-08,27.65
2014-08-11,27.66
2014-08-12,27.68
2014-08-13,27.71
2014-08-14,27.57
2014-08-19,27.63
2014-08-20,27.61
2014-08-21,27.61
2014-08-22,27.61
2014-08-25,27.47
2014-08-26,27.53
2014-08-27,27.68
2014-08-28,27.68
2014-08-29,27.80
2014-09-01,27.80
2014-09-02,27.80
2014-09-03,27.95
2014-09-04,27.88
2014-09-05,27.84
2014-09-08,27.83
2014-09-09,27.73
2014-09-10,27.59
2014-09-11,27.45
2014-09-12,27.36
2014-09-15,27.30
2014-09-16,27.28
2014-09-17,27.22
2014-09-18,27.04
2014-09-19,27.12
2014-09-22,27.34
2014-09-23,27.63
2014-09-24,27.66
2014-09-25,27.48
2014-09-26,27.36
2014-09-29,27.37
2014-09-30,27.29
2014-10-07,27.24
2014-10-08,26.89
2014-10-09,26.91
2014-10-10,26.97
2014-10-13,27.01
2014-10-14,27.04
2014-10-15,27.03
2014-10-16,26.82
2014-10-17,26.82
2014-10-20,26.76
2014-10-21,26.72
2014-10-22,26.75
2014-10-24,26.68
2014-10-27,26.68
2014-10-28,26.69
2014-10-29,26.59
2014-10-31,26.53
2014-11-03,26.53
2014-11-05,26.56
2014-11-07,26.69
2014-11-10,26.69
2014-11-11,26.74
2014-11-12,26.80
2014-11-13,26.77
2014-11-14,26.78
2014-11-17,26.66
2014-11-18,26.54
2014-11-19,26.45
2014-11-20,26.34
2014-11-21,26.27
2014-11-24,26.13
2014-11-25,26.05
2014-11-26,26.02
2014-11-27,25.91
2014-11-28,25.91
2014-12-01,25.91
2014-12-02,25.90
2014-12-03,26.00
2014-12-04,25.95
2014-12-05,25.91
2014-12-08,25.91
2014-12-09,25.91
2014-12-10,25.90
2014-12-11,25.82
2014-12-12,25.74
2014-12-15,25.63
2014-12-16,25.56
2014-12-17,25.49
2014-12-18,25.38
2014-12-19,25.28
2014-12-22,25.25
2014-12-23,25.16
2014-12-24,25.19
2014-12-26,25.14
2014-12-29,25.12
2014-12-30,25.02
2014-12-31,24.98
2015-01-01,24.98
2015-01-02,25.00
2015-01-05,24.95
